NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_LOCAL_RESID_DIFERENCIADA|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_AMPLIADA_18|IN_RECURSO_AMPLIADA_24|IN_RECURSO_CD_AUDIO|IN_RECURSO_PROVA_PORTUGUES|IN_RECURSO_VIDEO_LIBRAS|IN_RECURSO_BRAILLE|IN_RECURSO_NENHUM|IN_AEE_LIBRAS|IN_AEE_LINGUA_PORTUGUESA|IN_AEE_INFORMATICA_ACESSIVEL|IN_AEE_BRAILLE|IN_AEE_CAA|IN_AEE_SOROBAN|IN_AEE_VIDA_AUTONOMA|IN_AEE_OPTICOS_NAO_OPTICOS|IN_AEE_ENRIQ_CURRICULAR|IN_AEE_DESEN_COGNITIVO|IN_AEE_MOBILIDADE|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_BICICLETA|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_TR_ANIMAL|IN_TRANSP_VANS_KOMBI|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|TP_ETAPA_ENSINO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_MEDIACAO_DIDATICO_PEDAGO|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_UNIFICADA|TP_TIPO_ATENDIMENTO_TURMA|TP_TIPO_LOCAL_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2019|2CD712F0670B8A5F7CD524895C8D6C09|300701385|7|2016|2|3|2|1|1|76|32|3201506|32|3200359|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||1|0|1|0|0|6504782||1|255|0|0|0|0|5|0|1|0|32061790|3|3201|32003|32|3200359|320035905|3|1|||||||||||1|0|0
2019|E85457D979E93F690B19EC09EA69F560|157978200|7|1999|19|20|2|3|1|76|32|3205309|||1||0||||||||||||||||||||||||||||||||||3|0||||||||||||34|0|1|0|1|14845122|3054|1|360|0|0|0|0|5|0|1|0|32080824|3|3203|32009|32|3201308|320130810|1|1|||||||||||1|0|0
2019|D8587C10F910D515F2E0C072EC425BC2|332488728|3|2009|10|10|2|3|1|76|32|3205309|32|3205101|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||18|0|1|0|0|14810285||1|295|0|0|0|0|5|0|1|0|32037678|3|3203|32009|32|3205101|320510105|3|1|||||||||||1|0|0
2019|72CD43351E420F2C2FDBE0F357EA6B8D|334614180|7|2006|12|13|1|3|1|76|32|3205002|32|3205002|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||18|0|1|0|0|14672791||1|270|0|0|0|0|5|0|1|0|32036345|3|3203|32009|32|3205002|320500215|3|1|||||||||||1|0|0
2019|AE62FE6930121AC5590FCC2EE9F3AAFF|360955200|11|2004|14|15|2|3|1|76|32|3203908|32|3203908|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||41|0|1|0|0|16124109||1|270|0|0|0|0|5|0|1|0|32006160|3|3201|32002|32|3203908|320390805|3|1|||||||||||1|0|0
2019|0A765AA80F8D7DFF44E6263DFA4898FD|223624676|12|2001|17|18|2|0|1|76|32|3205309|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||27|0|1|0|0|14570117||1|320|0|0|0|0|5|0|1|0|32040091|3|3203|32009|32|3205309|320530905|4|1|1|0||1|0|0|0|0|0|0|1|0|0
2019|6A5973EA931ACDD6035BC00CDE8358EE|330542970|10|2017|1|2|1|4|1|76|32|3203403|32|3203403|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||1|0|1|0|0|13346282||1|255|0|0|0|0|5|0|1|0|32067437|3|3204|32012|32|3203403|320340305|3|1|||||||||||1|0|0
2019|71E267E3568389FF1135135C67310D44|233327040|8|2015|3|4|2|3|1|76|32|3205002|32|3205002|1|0|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1||||||||||||3|0||||||||||||1|0|1|0|0|6492036||1|240|0|0|12|0|5|0|1|0|32123019|3|3203|32009|32|3205002|320500215|3|1|||||||||||2|0|0
2019|B69C1726E0260AABFB854412086A283A|332615082|8|2014|4|5|1|3|1|76|32|3203908|32|3203908|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||2|0|1|0|0|6213815||1|600|0|0|0|0|5|0|1|0|32081421|3|3201|32002|32|3203908|320390805|3|1|||||||||||1|0|0
2019|32300C21D7CEB1E31FC7C70C7D250E03|284922085|7|2011|7|8|1|0|1|76|32|3201209|32|3201209|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||15|0|1|0|0|9139807||1|270|0|0|0|0|5|0|1|0|32052588|3|3204|32012|32|3201209|320120905|3|1|||||||||||1|0|0
2019|DFC5115E5861829BADE0C5EC7FA835F2|337307847|9|2011|7|8|2|0|1|76|32|3205200|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||15|0|1|0|0|1140462||1|270|0|0|0|0|5|0|1|0|32099800|3|3203|32009|32|3205200|320520020|3|1|||||||||||1|0|0
2019|5F1A46F421074D9FBE8907B06E865C2F|300725753|8|2007|11|12|1|3|1|76|35|3522505|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||19|0|1|0|0|7897440||1|260|210|0|0|0|5|0|1|0|32080190|3|3203|32009|32|3205200|320520005|3|1|||||||||||1|0|0
2019|954E200DB0BABEA7B6D0731B303238AE|372914158|11|2009|9|10|1|1|1|76|33|3303302|32|3200607|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||17|0|1|0|0|15400143||1|270|0|0|0|0|5|0|1|0|32019688|3|3202|32006|32|3200607|320060705|4|1|1|0||1|0|0|0|0|0|0|1|0|0
2019|ED72EB0F1C5B2CEE2BD6900C35AA6CF6|333762950|3|2013|6|6|1|3|1|76|32|3201209|32|3201209|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||14|0|1|0|0|3391860||1|270|0|0|0|0|5|0|1|0|32069685|3|3204|32012|32|3201209|320120905|3|1|||||||||||1|0|0
2019|8BFC77AAE5DE348445C9003FBCFD20CA|242279235|10|2013|5|6|1|2|1|76|32|3205309|32|3205002|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||2|0|1|0|0|14992994||1|240|0|0|0|0|5|0|1|0|32037031|3|3203|32009|32|3205002|320500215|3|1|||||||||||1|0|0
